modelo,peca_hora
422RCX45GI,160.0
422MBB984BMNE,160.0
422MRCX4BMNE,160.0
422MRCH45BMNE,160.0
422MRCH4BMNE,160.0
420MBB9845BMGI,160.0
420RCH45NE,160.0
420MRCH45BMNE,160.0
420BB9845GI,160.0
8113R413J7JM,300.0
RD14MR713YKJM,200.0
1420MRCH45PRPI,160.0
1420MRCX45PRPI,160.0
1420RCX45PI,160.0
1420RCH45PI,160.0
1422RB14PI,160.0
422RCH4STA,160.0
1422MRB14PRPI,160.0
1422RCX45PI,160.0
1422MRCH45PRPI,160.0
1422MRCX45PRPI,160.0
1422RCH45PI,160.0
422MBB9845GMREC,160.0
1420BB9835PI,160.0
1420MBB9835PRPI,160.0
1420MRB135PRPI,160.0
1420RB135PI,160.0
1418BB9835PI,160.0
1418MBB9835PRPI,160.0
1418MRB135PRPI,160.0
418MRCH35STA,160.0
1418RB135PI,160.0
418BB9835NE,160.0
418RCH35NE,160.0
1420MBB984PRPI,160.0
420MRCH4STA,160.0
1420BB984PI,160.0
628MRC66GMREC,120.0
628MRC66BMNE,120.0
628MRDE6BMNE,120.0
1628MRDE6PRPI,120.0
1628MRDE75PRPI,120.0
1628MRC675PRPI,120.0
1626MRDE6PRPI,120.0
2571-169,300.0
420MRCH35BMNE,160.0
8320R756G3NE,270.0
8322R805G3REC,270.0
8317R7545GSNE,300.0
418MBB9835BMBRN,160.0
422BB9845BRN,160.0
422MBB9845BMBRN,160.0
424MRC66BMBRN,160.0
626MRC66BMBRN,120.0
626MRDE6BMBRN,120.0
628MRC66BMBRN,120.0
628MRC675GMBRN,120.0
628MRDE6BMBRN,120.0
628R306AXBRN,120.0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
